,Keyword,Frequency,name
1,room,235,Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista
2,staff,152,Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista
0,room,536,Comfort Inn & Suites Convention Center
1,breakfast,484,Comfort Inn & Suites Convention Center
2,staff,286,Comfort Inn & Suites Convention Center
0,room,508,Sunsol International Drive
1,breakfast,412,Sunsol International Drive
2,location,257,Sunsol International Drive
0,room,219,Westgate Palace Resort
1,staff,95,Westgate Palace Resort
2,location,83,Westgate Palace Resort
0,house,73,DWS Vacation Villas
1,pool,73,DWS Vacation Villas
2,bed,57,DWS Vacation Villas
0,pool,43,"Disney-World Orlando Area, U.S.A - Paradise Palms Resort"
1,house,28,"Disney-World Orlando Area, U.S.A - Paradise Palms Resort"
2,property,24,"Disney-World Orlando Area, U.S.A - Paradise Palms Resort"
0,bedroom,4,Regal Oaks 2716
1,door,2,Regal Oaks 2716
2,couldn’t,2,Regal Oaks 2716
0,room,39,Ramada by Wyndham Orlando Florida Mall
1,breakfast,33,Ramada by Wyndham Orlando Florida Mall
2,clean,30,Ramada by Wyndham Orlando Florida Mall
0,villa,3,"8 Bedrooms with Private Pool, Spa and Grill (1803)"
1,dirty,3,"8 Bedrooms with Private Pool, Spa and Grill (1803)"
2,service,3,"8 Bedrooms with Private Pool, Spa and Grill (1803)"
0,room,670,Days Inn by Wyndham Orlando Conv. Center/International Dr
1,location,398,Days Inn by Wyndham Orlando Conv. Center/International Dr
2,staff,250,Days Inn by Wyndham Orlando Conv. Center/International Dr
0,room,912,Clarion Inn & Suites at International Drive
1,breakfast,367,Clarion Inn & Suites at International Drive
2,location,350,Clarion Inn & Suites at International Drive
0,room,297,Parc Corniche Condominium Suites
1,breakfast,234,Parc Corniche Condominium Suites
2,bed,150,Parc Corniche Condominium Suites
0,room,326,Holiday Inn & Suites Orlando Universal
1,hotel,142,Holiday Inn & Suites Orlando Universal
2,location,141,Holiday Inn & Suites Orlando Universal
0,room,272,Floridian Express International Drive
1,breakfast,141,Floridian Express International Drive
2,location,132,Floridian Express International Drive
0,room,504,Midpointe Hotel by Rosen Hotels & Resorts
1,location,298,Midpointe Hotel by Rosen Hotels & Resorts
2,clean,198,Midpointe Hotel by Rosen Hotels & Resorts
0,room,219,Courtyard Orlando Lake Buena Vista at Vista Centre
1,breakfast,143,Courtyard Orlando Lake Buena Vista at Vista Centre
2,location,135,Courtyard Orlando Lake Buena Vista at Vista Centre
0,room,452,Comfort Inn Maingate
1,breakfast,349,Comfort Inn Maingate
2,hotel,202,Comfort Inn Maingate
0,room,1034,Rodeway Inn Maingate
1,breakfast,787,Rodeway Inn Maingate
2,location,472,Rodeway Inn Maingate
0,room,61,Westgate Blue Tree Resort
1,nice,36,Westgate Blue Tree Resort
2,staff,35,Westgate Blue Tree Resort
0,room,604,Baymont by Wyndham Orlando Universal Blvd
1,breakfast,356,Baymont by Wyndham Orlando Universal Blvd
2,location,233,Baymont by Wyndham Orlando Universal Blvd
0,room,584,Econo Lodge International Drive
1,breakfast,562,Econo Lodge International Drive
2,location,378,Econo Lodge International Drive
0,room,786,Quality Suites Orlando Close to I-Drive
1,breakfast,556,Quality Suites Orlando Close to I-Drive
2,pool,359,Quality Suites Orlando Close to I-Drive
0,property,4,Windsor Hills
1,clean,4,Windsor Hills
2,facility,4,Windsor Hills
0,room,600,La Quinta Inn Orlando Airport West
1,airport,351,La Quinta Inn Orlando Airport West
2,staff,312,La Quinta Inn Orlando Airport West
0,room,333,Crowne Plaza Hotel Orlando-Universal
1,hotel,205,Crowne Plaza Hotel Orlando-Universal
2,staff,195,Crowne Plaza Hotel Orlando-Universal
0,room,709,Hilton Orlando Buena Vista Palace - Disney Springs Area
1,hotel,355,Hilton Orlando Buena Vista Palace - Disney Springs Area
2,pool,297,Hilton Orlando Buena Vista Palace - Disney Springs Area
0,room,494,Avanti Palms Resort And Conference Center
1,pool,190,Avanti Palms Resort And Conference Center
2,bathroom,130,Avanti Palms Resort And Conference Center
0,room,321,Melia Orlando Hotel
1,hotel,132,Melia Orlando Hotel
2,staff,127,Melia Orlando Hotel
0,room,1117,Wyndham Orlando Resort International Drive
1,location,423,Wyndham Orlando Resort International Drive
2,bed,319,Wyndham Orlando Resort International Drive
0,house,3,Eight Bedrooms with Private Pool and Spa (1756)
1,ac,2,Eight Bedrooms with Private Pool and Spa (1756)
2,washing,2,Eight Bedrooms with Private Pool and Spa (1756)
0,room,1304,Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive
1,breakfast,800,Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive
2,hotel,519,Ramada Plaza Resort & Suites by Wyndham Orlando Intl Drive
0,room,367,Ramada by Wyndham Suites Orlando Airport
1,airport,238,Ramada by Wyndham Suites Orlando Airport
2,breakfast,238,Ramada by Wyndham Suites Orlando Airport
0,room,225,Extended Stay America - Orlando - Convention Center - Universal Blvd
1,breakfast,147,Extended Stay America - Orlando - Convention Center - Universal Blvd
2,location,118,Extended Stay America - Orlando - Convention Center - Universal Blvd
0,house,88,Golf View Vacation Rentals
1,pool,86,Golf View Vacation Rentals
2,home,36,Golf View Vacation Rentals
0,room,894,Ramada by Wyndham Kissimmee Gateway
1,location,309,Ramada by Wyndham Kissimmee Gateway
2,staff,274,Ramada by Wyndham Kissimmee Gateway
0,room,340,La Quinta Inn & Suites Orlando Universal Area
1,breakfast,235,La Quinta Inn & Suites Orlando Universal Area
2,staff,157,La Quinta Inn & Suites Orlando Universal Area
0,great,3,Simba's Lake House
1,location,3,Simba's Lake House
2,street,3,Simba's Lake House
0,room,638,Days Inn by Wyndham Orlando Airport Florida Mall
1,breakfast,373,Days Inn by Wyndham Orlando Airport Florida Mall
2,staff,245,Days Inn by Wyndham Orlando Airport Florida Mall
0,home,3,Six Bedrooms with Private Pool and Spa (1746)
1,bathroom,3,Six Bedrooms with Private Pool and Spa (1746)
2,house,2,Six Bedrooms with Private Pool and Spa (1746)
0,space,2,"Five Bedrooms with private Pool, Spa and Grill (1761)"
1,nice,2,"Five Bedrooms with private Pool, Spa and Grill (1761)"
2,clean,2,"Five Bedrooms with private Pool, Spa and Grill (1761)"
0,room,177,Red Roof Inn Orlando South - Florida Mall
1,staff,81,Red Roof Inn Orlando South - Florida Mall
2,parking,68,Red Roof Inn Orlando South - Florida Mall
0,room,488,Best Western Airport Inn & Suites
1,breakfast,364,Best Western Airport Inn & Suites
2,airport,323,Best Western Airport Inn & Suites
0,room,240,Holiday Inn Orlando International Airport
1,hotel,137,Holiday Inn Orlando International Airport
2,staff,134,Holiday Inn Orlando International Airport
0,room,232,The Floridian Hotel and Suites
1,breakfast,171,The Floridian Hotel and Suites
2,hotel,130,The Floridian Hotel and Suites
0,room,1513,Days Inn by Wyndham Orlando/International Drive
1,location,505,Days Inn by Wyndham Orlando/International Drive
2,bed,457,Days Inn by Wyndham Orlando/International Drive
0,house,18,ACO - Windsor Hills with Private pool (1617)
1,pool,7,ACO - Windsor Hills with Private pool (1617)
2,need,6,ACO - Windsor Hills with Private pool (1617)
0,room,534,Altamonte Hotel & Suites
1,hotel,263,Altamonte Hotel & Suites
2,pool,185,Altamonte Hotel & Suites
0,room,344,Quality Suites Orlando I-Drive Convention Center
1,breakfast,216,Quality Suites Orlando I-Drive Convention Center
2,location,126,Quality Suites Orlando I-Drive Convention Center
0,everything,2,Paradise Palms 4 Bedroom-3082
1,home,2,Paradise Palms 4 Bedroom-3082
2,like,2,Paradise Palms 4 Bedroom-3082
0,needed,2,Paradise Palms 4 Bedroom-3281
1,felt,1,Paradise Palms 4 Bedroom-3281
2,like,1,Paradise Palms 4 Bedroom-3281
0,room,395,Quality Inn & Suites
1,breakfast,369,Quality Inn & Suites
2,staff,227,Quality Inn & Suites
0,room,369,Sheraton Orlando Lake Buena Vista Resort
1,pool,231,Sheraton Orlando Lake Buena Vista Resort
2,hotel,164,Sheraton Orlando Lake Buena Vista Resort
0,pool,15,Windsor Hills Six Bedroom Holiday Home 26Dv29
1,would,7,Windsor Hills Six Bedroom Holiday Home 26Dv29
2,home,6,Windsor Hills Six Bedroom Holiday Home 26Dv29
0,pool,5,Paradise Palms 5 Bedroom-3613
1,got,3,Paradise Palms 5 Bedroom-3613
2,one,3,Paradise Palms 5 Bedroom-3613
0,room,168,Four Points by Sheraton Orlando International Drive
1,staff,87,Four Points by Sheraton Orlando International Drive
2,hotel,81,Four Points by Sheraton Orlando International Drive
0,check,6,Eight Bedrooms with Pool and Game Room (1764)
1,house,4,Eight Bedrooms with Pool and Game Room (1764)
2,problem,3,Eight Bedrooms with Pool and Game Room (1764)
0,room,369,Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney
1,hotel,148,Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney
2,staff,130,Park Inn by Radisson Resort & Conference Center- Orlando- Near Disney
0,room,321,Marriott's Grande Vista
1,staff,146,Marriott's Grande Vista
2,pool,142,Marriott's Grande Vista
0,breakfast,193,Best Western Plus Universal Inn
1,room,169,Best Western Plus Universal Inn
2,universal,138,Best Western Plus Universal Inn
0,room,1154,Coco Key Hotel & Water Park Resort
1,water,755,Coco Key Hotel & Water Park Resort
2,park,680,Coco Key Hotel & Water Park Resort
0,home,22,"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals"
1,pool,19,"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals"
2,house,19,"Disney-World Area Orlando, U.S.A Favorite Holiday Rentals"
0,breakfast,388,Drury Inn & Suites Orlando
1,staff,281,Drury Inn & Suites Orlando
2,room,274,Drury Inn & Suites Orlando
0,room,144,Westgate Leisure Resort
1,nice,57,Westgate Leisure Resort
2,staff,49,Westgate Leisure Resort
0,property,3,Windsors Hills 7749
1,house,3,Windsors Hills 7749
2,family,2,Windsors Hills 7749
0,room,255,Hampton Inn & Suites Orlando near SeaWorld
1,breakfast,213,Hampton Inn & Suites Orlando near SeaWorld
2,clean,143,Hampton Inn & Suites Orlando near SeaWorld
0,room,198,Westgate Vacation Villas Resort
1,great,63,Westgate Vacation Villas Resort
2,everything,59,Westgate Vacation Villas Resort
0,room,7,Marriott's Sabal Palms
1,facility,5,Marriott's Sabal Palms
2,staff,4,Marriott's Sabal Palms
0,room,366,Rosen Inn Closest to Universal
1,staff,214,Rosen Inn Closest to Universal
2,location,206,Rosen Inn Closest to Universal
0,pool,7,Windsor Wonderland Home
1,super,4,Windsor Wonderland Home
2,home,4,Windsor Wonderland Home
0,room,7,Seaescape
1,property,5,Seaescape
2,clean,5,Seaescape
0,room,12,Residence Inn by Marriott Near Universal Orlando
1,hotel,10,Residence Inn by Marriott Near Universal Orlando
2,clean,8,Residence Inn by Marriott Near Universal Orlando
0,room,9,White Crane Home by Florida Dream Homes
1,pool,8,White Crane Home by Florida Dream Homes
2,great,6,White Crane Home by Florida Dream Homes
0,location,3,Six Bedrooms with Private Pool and Spa (1751)
1,home,3,Six Bedrooms with Private Pool and Spa (1751)
2,house,3,Six Bedrooms with Private Pool and Spa (1751)
0,staff,41,Orlando International Resort Club
1,clean,33,Orlando International Resort Club
2,great,31,Orlando International Resort Club
0,7,6,Windsor Magic
1,close,4,Windsor Magic
2,disney,4,Windsor Magic
0,location,2,Contessa Dr
1,everything,2,Contessa Dr
2,place,2,Contessa Dr
0,location,2,Regal Oaks Three Bedroom Villa
1,nice,2,Regal Oaks Three Bedroom Villa
2,bed,2,Regal Oaks Three Bedroom Villa
0,breakfast,88,Hampton Inn & Suites Orlando Airport at Gateway Village
1,room,88,Hampton Inn & Suites Orlando Airport at Gateway Village
2,staff,66,Hampton Inn & Suites Orlando Airport at Gateway Village
0,hair,7,101 Dalmatian's Den
1,pet,5,101 Dalmatian's Den
2,house,4,101 Dalmatian's Den
0,location,5,SeaWorld - Disney Apartments by NUOVO
1,nice,5,SeaWorld - Disney Apartments by NUOVO
2,unit,5,SeaWorld - Disney Apartments by NUOVO
0,room,115,DoubleTree by Hilton Orlando East - UCF Area
1,staff,72,DoubleTree by Hilton Orlando East - UCF Area
2,location,50,DoubleTree by Hilton Orlando East - UCF Area
0,nice,3,The Windsor Wonderland 6 BR Villa
1,didn’t,3,The Windsor Wonderland 6 BR Villa
2,home,3,The Windsor Wonderland 6 BR Villa
0,great,4,Windsor Hills Townhomes by IPG
1,location,4,Windsor Hills Townhomes by IPG
2,park,3,Windsor Hills Townhomes by IPG
0,bed,8,FunQuest Condos at Windsor Hills Kissimmee
1,u,6,FunQuest Condos at Windsor Hills Kissimmee
2,n,6,FunQuest Condos at Windsor Hills Kissimmee
0,home,7,Luxury Villas in Encore Waterpark
1,house,7,Luxury Villas in Encore Waterpark
2,pool,6,Luxury Villas in Encore Waterpark
0,room,93,Rosen Centre Hotel Orlando Convention Center
1,staff,64,Rosen Centre Hotel Orlando Convention Center
2,hotel,62,Rosen Centre Hotel Orlando Convention Center
0,room,115,Festiva Orlando Resort
1,staff,67,Festiva Orlando Resort
2,great,65,Festiva Orlando Resort
0,room,140,Hampton Inn & Suites Orlando International Drive North
1,breakfast,125,Hampton Inn & Suites Orlando International Drive North
2,hotel,64,Hampton Inn & Suites Orlando International Drive North
0,breakfast,161,Hampton Inn Lake Buena Vista / Orlando
1,staff,108,Hampton Inn Lake Buena Vista / Orlando
2,room,102,Hampton Inn Lake Buena Vista / Orlando
0,bed,2,2/3 Bed Condos Close to Disney
1,location,1,2/3 Bed Condos Close to Disney
2,perfect,1,2/3 Bed Condos Close to Disney
0,bed,3,Tropical Palms Premium Loft Cottage 29
1,bedroom,3,Tropical Palms Premium Loft Cottage 29
2,nice,3,Tropical Palms Premium Loft Cottage 29
0,room,84,La Quinta Inn & Suites Orlando UCF
1,clean,41,La Quinta Inn & Suites Orlando UCF
2,breakfast,39,La Quinta Inn & Suites Orlando UCF
0,cottage,3,Tropical Palms Premium Three-Bedroom Cottage 40
1,plus,2,Tropical Palms Premium Three-Bedroom Cottage 40
2,place,2,Tropical Palms Premium Three-Bedroom Cottage 40
0,comfortable,3,Mickeys Magical Escape
1,everything,3,Mickeys Magical Escape
2,laundry,3,Mickeys Magical Escape
0,good,2,Three Bedroom Condo First Floor Gated Community
1,gated,1,Three Bedroom Condo First Floor Gated Community
2,community,1,Three Bedroom Condo First Floor Gated Community
0,room,28,Homewood Suites by Hilton Orlando North Maitland
1,breakfast,26,Homewood Suites by Hilton Orlando North Maitland
2,staff,23,Homewood Suites by Hilton Orlando North Maitland
0,everything,15,SuiteLivingPlus
1,like,13,SuiteLivingPlus
2,location,11,SuiteLivingPlus
0,room,264,La Quinta Inn & Suites Orlando Airport North
1,airport,169,La Quinta Inn & Suites Orlando Airport North
2,breakfast,158,La Quinta Inn & Suites Orlando Airport North
0,room,92,SpringHill Suites by Marriott Orlando Convention Center
1,breakfast,88,SpringHill Suites by Marriott Orlando Convention Center
2,staff,70,SpringHill Suites by Marriott Orlando Convention Center
0,room,60,Homewood Suites by Hilton Orlando Airport
1,breakfast,50,Homewood Suites by Hilton Orlando Airport
2,staff,38,Homewood Suites by Hilton Orlando Airport
0,room,46,Delta Hotels by Marriott Orlando Lake Buena Vista
1,hotel,35,Delta Hotels by Marriott Orlando Lake Buena Vista
2,bed,31,Delta Hotels by Marriott Orlando Lake Buena Vista
0,would,4,Disney&Golf Holiday Home
1,home,3,Disney&Golf Holiday Home
2,day,3,Disney&Golf Holiday Home
0,pool,2,Paradise Palms 4 Bedroom-3032
1,need,2,Paradise Palms 4 Bedroom-3032
2,short,1,Paradise Palms 4 Bedroom-3032
0,ceiling,2,Regal Oaks Stay Orlando
1,fan,2,Regal Oaks Stay Orlando
2,would,2,Regal Oaks Stay Orlando
0,room,106,Embassy Suites Orlando - North
1,breakfast,66,Embassy Suites Orlando - North
2,staff,48,Embassy Suites Orlando - North
0,room,78,Las Palmeras by Hilton Grand Vacations
1,great,50,Las Palmeras by Hilton Grand Vacations
2,staff,39,Las Palmeras by Hilton Grand Vacations
0,room,30,Fairfield Inn & Suites by Marriott Orlando East/UCF Area
1,breakfast,24,Fairfield Inn & Suites by Marriott Orlando East/UCF Area
2,nice,18,Fairfield Inn & Suites by Marriott Orlando East/UCF Area
0,broken,3,Paradise Palms 6 Bedroom-3150
1,house,2,Paradise Palms 6 Bedroom-3150
2,clean,2,Paradise Palms 6 Bedroom-3150
0,room,36,Courtyard Orlando International Drive/Convention Center
1,staff,25,Courtyard Orlando International Drive/Convention Center
2,clean,23,Courtyard Orlando International Drive/Convention Center
0,room,19,The Courtyard at Lake Lucerne
1,breakfast,16,The Courtyard at Lake Lucerne
2,property,9,The Courtyard at Lake Lucerne
0,room,422,Rosen Inn at Pointe Orlando
1,location,278,Rosen Inn at Pointe Orlando
2,staff,176,Rosen Inn at Pointe Orlando
0,nice,11,Magic Tree Resort
1,room,11,Magic Tree Resort
2,staff,10,Magic Tree Resort
0,pool,8,Pool Paradise
1,tub,6,Pool Paradise
2,hot,5,Pool Paradise
0,breakfast,87,Hampton Inn & Suites Orlando-John Young Parkway/South Park
1,room,81,Hampton Inn & Suites Orlando-John Young Parkway/South Park
2,staff,71,Hampton Inn & Suites Orlando-John Young Parkway/South Park
0,breakfast,86,Hampton Inn Closest to Universal Orlando
1,staff,76,Hampton Inn Closest to Universal Orlando
2,room,54,Hampton Inn Closest to Universal Orlando
0,nice,4,Tropical Palms Standard Two-Bedroom Cottage 16
1,staff,3,Tropical Palms Standard Two-Bedroom Cottage 16
2,adult,3,Tropical Palms Standard Two-Bedroom Cottage 16
0,kitchen,2,Apartment Nena
1,nobody,2,Apartment Nena
2,phone,2,Apartment Nena
0,room,72,Hilton Garden Inn Orlando Lake Buena Vista
1,staff,52,Hilton Garden Inn Orlando Lake Buena Vista
2,breakfast,51,Hilton Garden Inn Orlando Lake Buena Vista
0,working,2,Vacation Home Rental Near Disney 27Il01
1,upon,2,Vacation Home Rental Near Disney 27Il01
2,arrival,2,Vacation Home Rental Near Disney 27Il01
0,room,14,WorldMark Orlando Kingstown Reef
1,pool,7,WorldMark Orlando Kingstown Reef
2,bed,5,WorldMark Orlando Kingstown Reef
0,comfortable,4,King Triton's Castle
1,game,4,King Triton's Castle
2,room,4,King Triton's Castle
0,pool,7,Closest Vacation Home Holiday Rental 26Ds37
1,dryer,5,Closest Vacation Home Holiday Rental 26Ds37
2,would,4,Closest Vacation Home Holiday Rental 26Ds37
0,room,71,Rosen Shingle Creek Universal Blvd
1,hotel,53,Rosen Shingle Creek Universal Blvd
2,great,52,Rosen Shingle Creek Universal Blvd
0,pool,4,Mickey's Beach House
1,house,3,Mickey's Beach House
2,one,3,Mickey's Beach House
0,room,49,The Alfond Inn
1,staff,37,The Alfond Inn
2,great,32,The Alfond Inn
0,room,10,Residence Inn Orlando Convention Center
1,breakfast,9,Residence Inn Orlando Convention Center
2,hotel,8,Residence Inn Orlando Convention Center
0,room,107,Hawthorn Suites By Wyndham Orlando International Drive
1,location,39,Hawthorn Suites By Wyndham Orlando International Drive
2,bed,36,Hawthorn Suites By Wyndham Orlando International Drive
0,pool,10,Windsor Hills Resort Kissimmee - Disney Area
1,clean,9,Windsor Hills Resort Kissimmee - Disney Area
2,location,8,Windsor Hills Resort Kissimmee - Disney Area
0,would,6,Blue Heron Resort Condo 206
1,bed,6,Blue Heron Resort Condo 206
2,nice,5,Blue Heron Resort Condo 206
0,time,2,Tropical Palms Premium Loft Cottage 33
1,wait,2,Tropical Palms Premium Loft Cottage 33
2,room,2,Tropical Palms Premium Loft Cottage 33
0,pool,5,Audez Tropical Haven
1,home,3,Audez Tropical Haven
2,dog,3,Audez Tropical Haven
