name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi,Laundry,Water Park,Outdoor Pool,Pet Friendly,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,wonderful Fitness Center,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,excellent Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Spacious Vacation Home Rental House 77Tb12,34747,6,8.3,7.1,8.8,8.8,8.8,7.9,8.8,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(19.3 miles from center)
Residence Inn Orlando Lake Buena Vista,32836,250,8.7,8.6,8.8,8.6,8.7,8.6,8.7,8.9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(11.8 miles from center)
Hilton Grand Vacations at SeaWorld,32821,"1,524",8.8,8.8,9,8.9,8.7,8.5,8.2,9.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,(9.9 miles from center)
EncoreResort 2107,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
"The Ritz-Carlton Orlando, Grande Lakes",32837,344,8.8,9,9,8.9,9.1,8,8.4,8.7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(9.3 miles from center)
Summerville Resort Townhome SV114,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Regal Oaks 2715,34746,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(16.2 miles from center)
116 Serine Poolside Villa,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Formosa Garden Pool Home,34747,24,9.2,8.9,9.6,8.9,9.1,9.3,9.3,17,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(19.9 miles from center)
Renaissance Orlando at SeaWorld®,32821,"1,699",8.9,9.1,9.1,9,8.9,8.3,6.9,9.1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,(9.9 miles from center)
Caribe Royale Orlando Near Disney,32821,"3,263",8.6,8.7,8.7,8.6,8.6,8.1,7.4,8.8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(13.7 miles from center)
Wyndham Grand Orlando Resort Bonnet Creek,32830,"2,575",8.6,8.7,8.8,8.8,8.6,8,8.5,8.8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(14.9 miles from center)
Summerville Resort Five Bedroom Townhome SV120,32819,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Vista Cay Resort by Millenium at Universal Blvd.,32819,463,8.5,8.4,8.7,8.5,8.1,8.3,8.9,9.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Three-Bedroom Apartment 7468,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Orlando Escape,32819,128,9.1,9.4,9.4,9.3,8.4,9,9.6,9.3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(8.1 miles from center)
Universal’s Family Suites at Cabana Bay Beach Resort,32819,176,8.6,8.7,8.6,8.5,8.6,8,8,9.3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
EncoreResort 2010,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Madison 461N Eight-Bedroom House,34824,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Fremont II 7519M Ten-Bedroom House,34777,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Ashcroft 411L Six-Bedroom House,34761,5,8.2,8.5,8.5,8.5,8.5,7.5,7.5,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
The Boat House,34747,10,9.3,8.8,9.5,9.5,9.7,9.3,9.3,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(20.5 miles from center)
Stafford 500B Six-Bedroom House,34811,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
EncoreResort 2009,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(17.4 miles from center)
Homewood Suites by Hilton Orlando-Nearest to Universal Studios,32819,559,8.7,8.7,8.8,8.7,8.9,8.5,8.2,9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(6.2 miles from center)
EncoreResort 4022,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Quality Inn & Suites By The Parks,34747,"3,294",8.6,8.6,8.3,8.3,9,8.6,8.3,8.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(18.6 miles from center)
Villas of Grand Cypress,32836,417,9.1,9.3,9.4,9.2,9.2,8.5,9,9.2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(12.4 miles from center)
Hyatt Place across from Universal Orlando Resort,32819,645,8.3,8.3,8.3,8,8.7,8,8.1,8.7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(5.6 miles from center)
The Encore Club at Reunion - Five Bedroom Villa - EC098,34747,0,0,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(17.4 miles from center)
Disney Bunk Room--Windsor Hills,34747,7,9.0,8.6,9.3,9.7,8.2,8.9,9.3,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Blue Heron Beach Resort,32821,912,8.6,8,8.7,8.5,8.6,8.7,9,9.2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(13 miles from center)
Holiday Inn Express-International Drive,32819,681,8.7,8.8,8.8,8.5,8.6,8.4,8.3,8.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(7.5 miles from center)
Hyatt Regency Grand Cypress,32836,"1,586",8.9,8.9,9.1,9.2,9,8.2,8.8,9.1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(13 miles from center)
Courtyard by Marriott Orlando South/John Young Parkway,32837,156,9.1,9.4,9.1,9.2,9.1,8.8,8.5,8.7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,(8.1 miles from center)
Windsor Hills Villa with Pool,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Loyalty Vacation Homes - Kissimmee,33896,174,9.0,8.8,9.2,9.1,8.9,8.9,9.3,8.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Comfort Suites,32819,626,8.8,8.7,8.8,8.6,8.8,8.8,8.2,9.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,(5.6 miles from center)
6 bedrooms with Pool and Sauna 1810,34747,0,0,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,(21.1 miles from center)
Best Western Orlando Gateway Hotel,32819,"5,361",8.4,8.3,8.2,8.1,8.7,8.3,8.6,8.8,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.8 miles from center)
Wellington 7728G Six-Bedroom House,34792,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Madison 430N Eight-Bedroom House,34781,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Sheraton Suites Orlando Airport Hotel,32822,"1,094",8.6,8.7,8.8,8.5,8.5,8.1,8.7,8.8,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(6.8 miles from center)
Fairfield Inn & Suites by Marriott Orlando International Drive/Convention Center,32819,690,8.7,8.8,8.8,8.6,8.7,8.5,8.6,9.1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(7.5 miles from center)
Wellington 7592M Six-Bedroom House,34780,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(21.1 miles from center)
Hilton Orlando,32819,957,8.5,8.8,8.8,8.8,8.6,7.5,6.5,8.6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,(8.7 miles from center)
Marriott's Cypress Harbour Villas,32821,317,9.5,9.5,9.7,9.6,9.5,9.3,9.8,9.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,(10.6 miles from center)
Oakwater Resort 7514,34747,10,9.0,9.2,9.5,8.5,8.1,9.5,9.5,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Cypress Pointe Resort by Diamond Resorts,32836,849,8.8,8.8,8.9,8.6,8.7,8.7,8.5,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,(11.8 miles from center)
Four-Bedroom Villa 3000,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Regal Oaks Resort 2719,34746,8,8.9,8.5,9.1,9.1,8.8,8.8,10,9.4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(16.2 miles from center)
Universal Studios Area Apartment,32819,67,9.2,9.1,9.5,9.2,8.9,9.2,8.8,9.3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
Stafford 360P Six-Bedroom House,34769,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Regal Oaks Resort 2749,34746,7,8.7,8.2,9.7,8.9,7.5,8.6,7.5,9.3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(16.2 miles from center)
Grande Villas Resort By Diamond Resorts,32836,869,8.9,8.8,8.9,8.8,8.9,8.7,8.5,9.1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(11.8 miles from center)
Legacy Vacation Resorts - Lake Buena Vista,32836,641,8.5,8.3,8.5,8.2,8.8,8.4,8.6,8.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(12.4 miles from center)
Grand Beach Resort By Diamond Resorts,32821,518,9.0,9,9.2,8.9,8.8,8.8,8.8,9.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(13.7 miles from center)
Kingston 321L Six-Bedroom House,34788,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Patty's Place,34747,19,9.4,9.5,9.5,9.4,9.4,9.4,10,9.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Hampton Inn & Suites Orlando/Downtown South - Medical Center,32806,380,9.2,9.6,9.5,9.3,9.4,8.6,8.3,8.7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,"(2,950 feet from center)"
Parkway International Celebration Area By Diamond Resorts,34746,454,8.9,8.7,9.1,8.8,8.9,9,8.6,8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Oakwater Resort Two Bedroom Apartment V31,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(18.6 miles from center)
Rocco's Retreat,34747,13,8.5,8.6,8.8,8.6,8.1,8.3,7.5,8.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(17.4 miles from center)
Holiday Inn Express & Suites - Orlando At Seaworld,32821,222,9.2,9.4,9.3,9.3,9.2,8.8,9.3,9.3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(9.3 miles from center)
Stafford 270P Six-Bedroom House,34837,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Summerville Resort Four Bedroom Townhome SV123,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Mystic Dunes Resort & Golf Club By Diamond Resorts,34747,"1,495",8.7,8.7,8.9,8.7,8.6,8.6,7.6,8.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Wingate By Wyndham - Orlando International Airport,32822,769,8.7,8.9,8.8,8.5,8.5,8.4,8.7,8.9,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(6.2 miles from center)
Comfort Suites Orlando Airport,32809,"1,067",8.7,8.8,8.9,8.5,8.6,8.6,8.5,8.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(5.6 miles from center)
761 Gorgeous Modern Destination,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Three-Bedroom Villa 2764,34746,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(16.2 miles from center)
Hampton Inn & Suites Orlando-East UCF,32817,456,9.1,9.4,9.3,9.2,9.2,8.9,8.8,8.8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(10.6 miles from center)
412 All Modern Upgrades Pool View Villa,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Star Attraction,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(20.5 miles from center)
Aloft Orlando Downtown,32801,276,8.6,8.9,8.8,8.6,8.9,7.7,8.9,8.9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"(1,500 feet from center)"
Summerville Resort Five Bedroom Townhome SV112,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Windsor Hills Resort Three Bedroom Townhome With Splash Pool 351,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(19.3 miles from center)
Playhouse,34747,6,8.8,8.8,9.6,9.2,8.3,8.3,8.3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Encore Club Orlando,34747,6,9.9,10,10,10,10,9.6,10,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
The Florida Hotel & Conference Center - BW Premier Collection,32809,715,8.8,8.8,8.8,8.8,8.9,8.2,8.1,9.1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,(6.2 miles from center)
JW Marriott Orlando Grande Lakes,32837,552,8.8,9.1,9.1,9.1,8.8,8,7.5,8.7,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(9.3 miles from center)
Best Western Lake Buena Vista – Disney Springs® Resort Area,32830,"1,447",8.3,8.1,8.1,7.9,8.6,7.9,8.3,9,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(13 miles from center)
Embassy Suites by Hilton- Lake Buena Vista Resort,32836,645,8.4,8.3,8.5,8.5,8.7,7.9,7.9,8.5,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(11.8 miles from center)
Vista Apartment Three Bedroom Apartment 3G6,32819,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(8.1 miles from center)
Luxury Windsor Hills Condo,34747,78,8.7,8.7,8.9,8.6,8.7,8.6,9.5,8.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Three Bedroom Condo 4862,32819,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(8.1 miles from center)
Homewood Suites by Hilton Lake Buena Vista,32836,358,8.6,8.5,8.6,8.5,8.7,8.4,7.9,8.8,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(11.8 miles from center)
Summerville Resort Five Bedroom Townhome SV107,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(19.3 miles from center)
Fairfield Inn & Suites by Marriott Orlando Kissimmee/Celebration,34747,154,8.9,9.1,9,8.7,8.9,8.6,8.5,9,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
746 · The Terra-cotta Suite,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Embassy Suites by Hilton Orlando International Drive I Drive 360,32819,253,8.7,8.7,8.8,8.7,8.7,8.2,8,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
"Grand Bohemian Hotel Orlando, Autograph Collection",32801,293,8.8,9.1,9,8.8,8.8,7.8,9.1,190,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,"(1,950 feet from center)"
"Eight Bedrooms with Pool, Spa, Grill and Game Room (1826)",34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(21.1 miles from center)
Embassy Suites Orlando - Downtown,32801,248,8.7,8.9,8.7,8.7,8.9,7.8,10,9,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(0.7 miles from center)
Windsor Hills Resort Gold - H13 Townhome,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(19.3 miles from center)
Holiday Inn Orlando East-UCF Area,32826,253,8.6,8.8,8.8,8.6,8.7,8.1,8.5,8.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,(10.6 miles from center)
Clarion Inn & Suites Universal Studios Area,32819,"3,357",8.3,8.5,8.1,8.1,8.2,8.2,8.4,8.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(5.6 miles from center)
ENTIRE HOME 4BDR/2BTH,32825,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(6.8 miles from center)
Encore Club at Reunion - 5BD Home - EC101,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(20.5 miles from center)
Windsor Hills Five Bedroom House with Private Pool 5LKJ9,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,(19.3 miles from center)
Hyatt Place Orlando Airport,32812,408,8.6,8.7,8.8,8.4,8.8,8.3,8.6,8.8,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(6.2 miles from center)
Three Bedroom Vacation Townhouse Oakwater Resort 27ow12,34747,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(18.6 miles from center)
Marriott's Harbour Lake,32821,247,9.4,9.5,9.5,9.5,9.5,9.1,9.3,9.5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(10.6 miles from center)
VISTA CAY DISNEY PARADISE 6,32819,5,9.8,9.5,9.5,10,10,9.5,10,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(8.1 miles from center)
EncoreResort 3203,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(17.4 miles from center)
Gaylord Palms Resort & Convention Center,34746,"1,210",8.6,8.9,8.7,8.9,8.6,7.8,7.4,8.9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,(15.5 miles from center)
Hilton Garden Inn Orlando International Drive North,32819,205,9.0,9.1,9,8.9,9.2,8.7,7.9,9.3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(6.2 miles from center)
Casa Regal Oaks 2717,34746,0,0,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,(16.2 miles from center)
Park Plaza Hotel Orlando - Winter Park,32789,154,8.3,8.7,7.8,7.7,9.1,7.1,8.4,9.1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,(4.3 miles from center)
Madison 501L Eight-Bedroom House,34749,0,0,,,,,,,,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
Blue Tree Resort at Lake Buena Vista,32836,548,8.4,8.1,8.2,8.4,8.4,8.4,8.7,8.9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,(12.4 miles from center)
Mickey's Scotch Corner,34747,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,(20.5 miles from center)
"Castle Hotel, Autograph Collection",32819,266,8.7,8.7,8.8,8.5,8.9,7.9,8.4,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,(8.1 miles from center)
